,City,Cloudiness,Humidity,Lat,Long,Max Temp,Wind Speed
0,Souillac,0,86,45.6,-0.6,41.0,5.82
1,Senneterre,90,92,48.39,-77.24,23.0,3.36
2,Paris,90,93,48.86,2.35,42.8,14.99
3,Makhinjauri,75,87,41.67,41.69,55.4,9.17
4,Xuddur,0,28,4.12,43.89,91.41,14.7
5,Sotouboua,56,77,8.56,0.98,79.89,4.52
6,Nizwa,0,20,22.93,57.53,85.02,5.08
7,Semnan,0,51,35.58,53.39,66.21,4.29
8,Kabalo,0,53,-6.05,26.92,91.14,4.63
9,Pitimbu,20,88,-7.47,-34.81,75.2,2.24
10,Pimentel,24,97,-3.7,-45.5,72.19,2.1
11,Coihaique,75,62,-45.58,-72.07,57.2,8.05
12,Tasiilaq,75,85,65.61,-37.64,21.2,5.82
13,Acari,68,94,-6.44,-36.64,67.06,3.06
14,Saint-Georges,92,73,46.12,-70.67,26.74,8.55
15,Lebu,0,43,8.96,38.73,70.57,6.91
16,Qeshm,0,65,26.96,56.27,80.6,11.41
17,Nantucket,40,100,41.28,-70.1,42.8,4.7
18,Sinnamary,76,95,5.38,-52.96,79.57,11.61
19,Tiznit,12,100,29.7,-9.73,61.66,3.29
20,Montanha,80,96,-18.13,-40.37,77.1,7.02
21,Antofagasta,0,77,-23.65,-70.4,64.4,1.12
22,Kodinar,0,20,20.79,70.7,96.36,7.81
23,Nkoteng,24,76,4.5,12.12,80.52,6.76
24,Muli,0,21,22.62,71.45,99.01,10.6
25,Bonthe,88,85,7.53,-12.5,79.21,2.39
26,Umba,24,90,66.69,34.34,6.22,3.0
27,Amarwara,12,41,22.3,79.17,83.44,6.91
28,Gewane,0,28,10.16,40.66,90.42,4.12
29,Ambanja,75,100,-13.68,48.45,78.8,4.7
30,Adoni,0,17,15.63,77.27,96.09,11.56
31,Rye,0,87,50.95,0.73,44.6,20.8
32,Athenry,75,86,53.3,-8.75,39.2,11.41
33,Marovoay,75,79,-16.11,46.64,84.2,4.7
34,Chipinge,0,60,-20.19,32.62,86.14,4.29
35,Kirovskiy,92,80,45.09,133.51,15.49,4.9
36,Praia,88,99,-20.25,-43.81,64.23,2.89
37,Kalangala,20,69,-0.32,32.29,77.0,16.11
38,Hella,0,58,63.84,-20.4,30.2,2.24
39,Luanda,20,78,-8.83,13.24,80.6,4.7
40,Mahebourg,90,66,-20.41,57.7,84.2,12.75
41,Parabel,56,57,58.71,81.5,13.83,9.37
42,Villarrica,0,90,-39.28,-72.23,45.6,1.99
43,Itarare,44,93,-24.11,-49.33,65.94,7.14
44,Palora,0,100,-1.7,-77.97,56.76,0.76
45,Lithakia,20,59,37.72,20.83,60.8,12.75
46,Skelleftea,0,92,64.75,20.95,12.2,3.36
47,Gayeri,0,20,12.65,0.49,92.85,7.65
48,Bonao,20,100,18.94,-70.41,68.0,3.11
49,Koutsouras,0,93,35.03,25.95,62.47,20.74
50,Mobile,1,77,30.69,-88.04,46.4,8.05
51,Ilebo,12,67,-4.33,20.59,85.38,3.22
52,Przasnysz,80,94,53.02,20.88,34.71,11.27
53,Dullewala,12,57,31.84,71.44,75.84,12.91
54,Matara,24,100,-13.74,-72.9,35.56,2.28
55,Fazalpur,32,42,32.18,75.07,80.6,3.36
56,Yar-Sale,0,78,66.83,70.83,8.92,12.28
57,Pemba,68,100,-12.97,40.52,81.78,5.91
58,Gbarnga,76,93,7.0,-9.47,73.86,4.12
59,Arlit,0,28,18.74,7.39,83.31,5.3
60,Olonets,0,62,60.98,32.97,16.17,5.23
61,Lerwick,40,86,60.15,-1.15,41.0,14.99
62,Digby,92,99,44.62,-65.76,35.29,23.24
63,Busselton,0,73,-33.64,115.35,79.66,10.04
64,Albany,90,86,42.65,-73.75,32.0,11.41
65,Uyuni,20,75,-20.46,-66.82,32.77,3.89
66,Saldanha,88,100,41.42,-6.55,42.31,3.78
67,Labytnangi,44,81,66.66,66.39,11.58,13.85
68,Yokadouma,80,85,3.52,15.05,77.64,3.4
69,Paamiut,0,100,61.99,-49.67,22.11,23.47
70,Hermanus,24,67,-34.42,19.24,67.29,3.22
71,Hualmay,36,83,-11.1,-77.61,64.72,3.51
72,Turbat,0,15,26.0,63.05,89.02,4.79
73,Carupano,36,89,10.67,-63.26,77.32,11.16
74,Jaca,0,97,42.57,-0.55,42.8,3.36
75,Ordzhonikidze,20,96,44.96,35.36,51.36,4.74
76,Georgetown,40,100,6.8,-58.16,73.4,2.24
77,Belmonte,92,98,40.36,-7.35,44.97,4.12
78,Petropavl,0,66,54.87,69.13,12.2,22.37
79,Karla,0,73,59.37,24.93,24.8,13.87
80,Perg,75,86,48.25,14.63,37.4,3.36
81,Kulhudhuffushi,76,100,6.62,73.07,82.68,5.79
82,Batticaloa,88,95,7.71,81.69,82.77,7.65
83,Touros,88,81,-5.2,-35.46,80.92,6.64
84,Posse,92,100,-14.08,-46.36,68.55,5.23
85,Ahmadpur,0,26,18.7,76.94,93.84,8.14
86,Fairhope,1,77,30.52,-87.9,46.4,8.05
87,Atar,0,40,20.52,-13.05,73.4,11.41
88,Rawson,0,46,-43.3,-65.11,66.97,12.35
89,Saint-Joseph,0,52,43.56,6.97,48.2,3.36
90,Hamilton,90,93,32.3,-64.78,60.8,16.11
91,Tigzirt,92,95,36.57,4.2,48.16,2.33
92,Saint-Pierre,75,86,48.95,4.24,42.8,19.46
93,Goderich,92,95,43.74,-81.71,27.87,14.14
94,Narasannapeta,0,37,18.42,84.04,94.65,8.55
95,Buchanan,40,94,5.88,-10.05,73.4,3.36
96,Rochegda,0,66,62.67,43.41,13.06,5.01
97,Vigia,75,93,40.51,-8.69,51.8,13.87
98,Gondal,0,13,21.96,70.8,99.33,5.79
99,Thurso,20,93,58.6,-3.52,39.2,10.29
100,Westport,40,98,53.8,-9.52,33.8,5.82
101,Hambantota,68,100,6.12,81.12,82.72,5.79
102,Muisne,80,97,0.61,-80.02,71.61,1.21
103,Jalu,8,26,29.03,21.55,82.99,9.04
104,Maceio,0,94,-9.67,-35.74,75.2,8.05
105,Coquimbo,0,87,-29.95,-71.34,57.2,2.77
106,Qaqortoq,0,43,60.72,-46.03,12.2,2.24
107,Sechura,36,91,-5.56,-80.82,71.25,4.41
108,Zvishavane,0,44,-20.32,30.05,87.54,4.34
109,Niquelandia,92,99,-14.47,-48.46,68.55,2.39
110,Tanout,0,14,14.97,8.88,91.54,7.92
111,Saint-Paul,0,93,45.22,1.9,37.4,8.05
112,Watsa,0,59,3.04,29.53,88.66,5.41
113,Reconquista,0,74,-29.14,-59.64,60.94,8.77
